codice,descrizione,categoria,prezzo
9005,NERO LUCIDO,SPRAY,
9005,NERO OPACO,SPRAY,
9010,BIANCO LUCIDO,SPRAY,
9010,BIANCO OPACO,SPRAY,
26,BIANCO ELETTROD.,SPRAY,
9001,BIANCO CREMA,SPRAY,
9002,BIANCO GRAY,SPRAY,
9003,BIANCO SEGNALE,SPRAY,
9016,BIANCO TRAFFICO,SPRAY,
9006,GRIGIO ALLUMINIO,SPRAY,
7001,GRIGIO,SPRAY,
7011,GRIGIO TOPO,SPRAY,
7015,GRIGIO ARDESIA,SPRAY,
7016,GRIGIO ANTRACITE,SPRAY,
7030,GRIGIO PIETRA,SPRAY,
7032,GRIGIO SILICIO,SPRAY,
7035,GRIGIO,SPRAY,
7040,GRIGIO AGATA,SPRAY,
7042,GRIGIO TRAFFICO,SPRAY,
8003,MARRONE CHIARO,SPRAY,
8004,MARRONE RAME,SPRAY,
8011,NOCE,SPRAY,
8014,MARRONE SEPPIA,SPRAY,
8016,MARRONE MOGANO,SPRAY,
8017,MARRONE CIOCCOLATO,SPRAY,
8019,TESTA DI MORO,SPRAY,
1001,BEIGE SCURO,SPRAY,
1003,GIALLO SEGNALE,SPRAY,
1004,GIALLO GOLDEN,SPRAY,
1007,GIALLO CROMO,SPRAY,
1016,GIALLO ZOLFO,SPRAY,
1018,GIALLO ZINCO,SPRAY,
1023,GIALLO ORO,SPRAY,
1028,GIALLO MELONE,SPRAY,
1013,AVORIO,SPRAY,
1014,AVORIO CREMA,SPRAY,
1015,AVORIO CHIARO,SPRAY,
1019,TORTORA CHIARO,SPRAY,
2004,ARANCIO,SPRAY,
2002,ARANCIO SANGUE,SPRAY,
3000,ROSSO,SPRAY,
3001,ROSSO SEGNALE,SPRAY,
3003,ROSSO RUBINO,SPRAY,
3005,ROSSO VINO,SPRAY,
3009,ROSSO OSSIDO,SPRAY,
3013,ROSSO POMODORO,SPRAY,
3020,ROSSO TRAFFICO,SPRAY,
3015,ROSA,SPRAY,
4003,ROSA SHOCKING,SPRAY,
4005,VIOLETTA,SPRAY,
4006,PORPORA,SPRAY,
4010,MAGENTA,SPRAY,
5002,BLU OLTREMARE,SPRAY,
5003,BLU ZAFFIRO,SPRAY,
5010,BLU GENZIANA,SPRAY,
5012,AZZURRO,SPRAY,
5013,BLU SCURO,SPRAY,
5015,BLU COBALTO,SPRAY,
5017,CELESTE CIELO,SPRAY,
5019,BLU CAPRI,SPRAY,
6000,VERDE MOTORE MARINO,SPRAY,
6001,VERDE SMERALDO,SPRAY,
6002,VERDE FOGLIA,SPRAY,
6003,VERDE OLIVA,SPRAY,
6005,VERDE,SPRAY,
6011,VERDE RESEDA,SPRAY,
6018,VERDE PRATO,SPRAY,
6019,VERDE ACQUA,SPRAY,
6029,VERDE MENTA,SPRAY,
40,TRASP. LUCIDO,SPRAY,
41,TRASP. OPACO,SPRAY,
6003,VERDE OPACO,SPRAY,
6005,VERDE OPACO,SPRAY,
8003,"TERRACOTTA
OPACO",SPRAY,
8017,MARRONE OPACO,SPRAY,
7016,GRIGIO OPACO,SPRAY,
1,ANTIRUGGINE GRIGIO,SPRAY,
2,ORO RICCO PALLIDO,SPRAY,
4,RAME,SPRAY,
3,ORO DUCATO,SPRAY,
5,DORATURA,SPRAY,
6,CROMATURA,SPRAY,
12,GRIGIO METALLIZZATO,SPRAY,
037-25,PRIMER,SPRAY,
037-27,ARIA SPRAY,SPRAY,
cod.031,tixo FERRO MICACEO BRONZO ANTICO,SPRAY,
cod.032,tixo FERRO MICACEO FERRO ANTICO,SPRAY,
cod.049,FONDO ANTIRUGGINE ROSSO,SPRAY,
cod.050,FONDO ANTIRUGGINE GRIGIO,SPRAY,
cod.037-03,SUPER SBLOCCANTE,SPRAY,
cod. 037-10,SBLOCCANTE TECNICO PROF,SPRAY,
cod.037-02,GRASSO MULTIUSO,SPRAY,
cod.037-15,OLIO DI SILICONE,SPRAY,
cod.037-19,OLIO DI VASELLINA,SPRAY,
cod.037-27,ARIA SPRAY,SPRAY,
cod.037-05,PULITORE CONTATTI,SPRAY,
cod.037-06,OLIO PER ARMI,SPRAY,
cod.038-05,RIMUOVI SILICONE,SPRAY,
cod.037-20,RIMUOVI ETICHETTE,SPRAY,
cod.037-13,ZINCO SPRAY,SPRAY,
cod.038-04,COLLA SPRAY,SPRAY,
cod. 051,STUCCO RIEMPITIVO,SPRAY,
cod. 038-09,NERO GOMME,SPRAY,
cod. 038-12,GUAINA SPRAY,SPRAY,
cod. 038-22,COPRI MACCHIA,SPRAY,
cod. 038-17,COLLA RIPOSIZIONABILE,SPRAY,
cod. 038-11,IMPERMEABILIZZANTE,SPRAY,
cod. 038-18,ANTRISPRUZZO,SPRAY,
cod. 038-14,OLIO DA TAGLIO,SPRAY,
cod. 038-15,RIMUOVI VERNICE,SPRAY,
cod. 038-21,RIMUOVI GRAFFITI,SPRAY,
cod.023,SMALTO ALTA TEMPERATURA  TRASPARENTE,SPRAY,
